Transaction_ID,Date,Customer,City,Product,Sales,Quantity,Feedback_Score
139,05-03-2025,Anjali,Hyderabad,Mobile,25390,2,3.6
140,28-01-2025,Neha,Mumbai,Monitor,12345,2,4.4
141,21-04-2025,Anjali,Pune,Mobile,25625,1,3.3
142,19-04-2025,Anjali,Ahmedabad,Mobile,25202,1,4.1
143,10-02-2025,Sneha,Pune,Laptop,55441,2,4.4
144,22-02-2025,Priya,Chennai,Tablet,15750,1,3.5
145,23-04-2025,Pooja,Ahmedabad,Tablet,15142,1,3.5
146,12-02-2025,Sneha,Chennai,Tablet,15977,3,3.6
147,27-02-2025,Karan,Ahmedabad,Mobile,25275,1,4.2
148,08-05-2025,Pooja,Ahmedabad,Tablet,15633,2,3.4
149,21-04-2025,Sneha,Pune,Headphones,2976,1,4.1
150,09-03-2025,Pooja,Kolkata,Tablet,14992,2,4.4
151,28-04-2025,Anjali,Pune,Mobile,25080,3,4.7
152,16-04-2025,Amit,Pune,Mobile,25089,3,5
153,23-05-2025,Anjali,Kolkata,Laptop,54717,3,4.1
154,02-03-2025,Sohan,Chennai,Monitor,12982,1,3.2
155,18-02-2025,Pooja,Bangalore,Headphones,2756,2,4.7
156,20-05-2025,Sohan,Bangalore,Laptop,55788,3,4
157,28-04-2025,Amit,Chennai,Laptop,54944,3,4.9
158,12-02-2025,Pooja,Delhi,Laptop,55922,3,3.1
159,21-01-2025,Amit,Ahmedabad,Headphones,1823,2,3.2
160,02-04-2025,Neha,Hyderabad,Mobile,24880,2,4.4
161,03-02-2025,Neha,Pune,Monitor,12384,2,4.9
162,03-03-2025,Neha,Mumbai,Mobile,25463,2,4.1
163,08-01-2025,Rahul,Chennai,Headphones,2560,1,3.3
164,27-03-2025,Vikram,Chennai,Tablet,15567,1,3.3
165,10-04-2025,Amit,Hyderabad,Monitor,12961,3,3.5
166,25-05-2025,Sohan,Delhi,Tablet,14547,2,4.6
167,25-05-2025,Karan,Ahmedabad,Laptop,55981,1,4.1
168,15-05-2025,Vikram,Kolkata,Laptop,55569,3,3.6
169,01-02-2025,Karan,Bangalore,Tablet,15914,1,3.6
170,23-02-2025,Sneha,Hyderabad,Laptop,55030,3,3.4
171,28-05-2025,Priya,Kolkata,Monitor,12829,2,3.6
172,09-03-2025,Vikram,Delhi,Laptop,55640,1,3.7
173,14-03-2025,Neha,Mumbai,Tablet,14898,1,4.1
174,14-01-2025,Neha,Delhi,Laptop,55136,2,4.9
175,28-03-2025,Amit,Ahmedabad,Mobile,25381,1,4.5
176,25-04-2025,Pooja,Pune,Mobile,25867,2,3.3
177,12-05-2025,Sohan,Pune,Mobile,25599,1,4.7
178,09-05-2025,Neha,Ahmedabad,Monitor,12208,1,3.4
179,27-01-2025,Karan,Bangalore,Mobile,25193,1,4.7
180,03-01-2025,Sneha,Delhi,Laptop,55868,3,3.2
181,19-02-2025,Pooja,Bangalore,Headphones,2093,3,4.5
182,17-01-2025,Neha,Chennai,Headphones,1841,2,4.2
183,08-03-2025,Vikram,Bangalore,Monitor,12007,3,3.4
184,27-01-2025,Anjali,Chennai,Monitor,12666,1,3.5
185,02-04-2025,Neha,Ahmedabad,Mobile,24767,2,3.1
186,06-04-2025,Anjali,Mumbai,Mobile,24591,1,4.5
187,20-04-2025,Karan,Pune,Tablet,15138,3,4.8
188,26-04-2025,Karan,Kolkata,Monitor,12476,3,4.5
189,13-03-2025,Anjali,Bangalore,Headphones,1532,3,3.9
190,06-04-2025,Sohan,Pune,Monitor,12604,3,3.8
191,23-04-2025,Neha,Delhi,Mobile,24658,2,4.7
192,09-01-2025,Sneha,Chennai,Monitor,12410,3,3.3
193,11-01-2025,Amit,Mumbai,Tablet,15891,2,3.3
194,08-03-2025,Priya,Hyderabad,Mobile,25991,3,3.1
195,03-02-2025,Amit,Ahmedabad,Laptop,54513,2,4.7
196,08-02-2025,Karan,Bangalore,Tablet,15754,2,3.5
197,28-03-2025,Anjali,Pune,Headphones,2454,1,3.2
198,05-01-2025,Rahul,Ahmedabad,Monitor,12499,1,4.8
199,14-02-2025,Amit,Delhi,Headphones,1715,1,3
